,text,cmp_code,country
0,"Se trata de cuestiones éticas que, precisamente, el morenismo transgrede directamente al impulsar la depredación del ambiente con la minería intensificada, o al comprometer al país en acuerdos a largo plazo  con  el  FMI,  que  vulneran  explícitamente  los  derechos  de  las  poblaciones  ancestrales  y maniatan  el  futuro  de  los  ecuatorianos  por-venir.,1",1,Ecuador
1,"Se retomará la política activa de respeto del derecho internacional, con acciones para democratizar el sistema de Naciones Unidas e impulsar agendas para el buen vivir de los pueblos, en las que la democracia en todas sus dimensiones (política, económica, social, cultural y ecológica) y derechos humanos son términos inseparables.,1",1,Ecuador
2,"sancionar la represión y el terrorismo de Estado.,1",1,Ecuador
3,"Reforzar la política de consulados móviles.,1",1,Ecuador
4,"Por eso nuestro gobierno retomará el diálogo y las alianzas regionales e internacionales, y recuperará el rol del país como miembro activo en los foros multilaterales en busca de soluciones sobre asuntos de justicia global como el calentamiento global, el sistema financiero internacional, los bienes comunes globales, la migración, la trata de personas, la igualdad de género; y la defensa de la paz, la democracia y la autodeterminación de los pueblos.,1",1,Ecuador
5,"Para atender estos temas urgentes en materia de justicia global, proponemos:,1",1,Ecuador
6,"Objetivo 5. Justicia global, soberanía e integración,1",1,Ecuador
7,"La mala gestión económica del gobierno morenista ha conducido a un matrimonio forzoso con el FMI como fuente principal de financiamiento, lo que conlleva la debacle del proyecto de integración regional, la apertura comercial indiscriminada y el acelerado ciclo de endeudamiento externo aparejado a la austeridad en favor de los intereses del capital financiero internacional.,1",1,Ecuador
8,"Fortalecer las Relaciones Internacionales,1",1,Ecuador
9,"Estas circunstancias colocan la política exterior del Ecuador en una situación comprometida, que es necesario superar para que el país recupere una posición relevante en el ámbito internacional, en el marco de transiciones mundiales que demandan nuevas concepciones de justicia global.,1",1,Ecuador
10,"En esta dirección la integración regional y la relación estratégica con nuestros vecinos es clave para ganar peso en  la defensa de intereses del país como la libre movilidad, la inserción de la producción ecuatoriana en otros mercados, las economías regionales, la promoción de las exportaciones y el incremento de su valor agregado.,1",1,Ecuador
11,"94. Defender la soberanía nacional y rechazar la aplicación de la extraterritorialidad de la ley: no a los Tratados de Asistencia Recíproca no a la instalación de bases militares extranjeras en nuestro territorio no a la implementación de Tratados Bilaterales de Inversión.,1",1,Ecuador
12,"86. Recuperar la gratuidad en la preparación para el ingreso a las FFAA y la policía.,1",1,Ecuador
13,"5. Justicia global, soberanía e integración,1",1,Ecuador
14,"326. Identificar problemas prioritarios comunes en el país y a nivel internacional,,1",1,Ecuador
15,"289. Luchar a través de acciones nacionales, regionales e internacionales, contra la biopiratería de los recursos genéticos del país.,1",1,Ecuador
16,"171.  Ampliar el padrón electoral de ecuatorianos en el exterior y de extranjeros en Ecuador.,1",1,Ecuador
17,"169. Establecer Corredores Humanitarios para migrantes en tránsito tanto en dirección Norte-Sur como Sur-Norte.,1",1,Ecuador
18,"169. Diversificar las relaciones económicas, comerciales y políticas para fortalecer el multilateralismo y el equilibrio global. Para esto es necesario retomar los acercamientos con los países africanos y asiáticos e impulsar acuerdos de cooperación y complementariedad.,1",1,Ecuador
19,"168. Incluir en los foros internacionales y reuniones bilaterales el tema migratorio con enfoque de derechos.,1",1,Ecuador
20,"168. Formar parte activa del grupo de países no alineados, para impulsar la democratización de las instancias internacionales y hacer respetar el derecho de los países menos desarrollados.,1",1,Ecuador
21,"167. Impulsar la participación social en los procesos de integración para representen los intereses de largo plazo de su población.,1",1,Ecuador
22,"166. Consolidar acuerdos de conservación del patrimonio natural, toda vez que la región en una de las zonas más ricas del mundo en biodiversidad, agua y zonas bioclimáticas.,1",1,Ecuador
23,"165. Reforzar y ampliar la red de consulados de Ecuador en el mundo, tomando en cuenta los criterios numéricos, geográficos y políticos.,1",1,Ecuador
24,"164. Avanzar con la cooperación económica y financiera, a través de la implementación de la Nueva Arquitectura Financiera Regional.,1",1,Ecuador
25,"163. Retomar la participación del Ecuador en la OPEP y propender a la cartelización en otros ámbitos de producción de materias primas, para garantizar la defensa de los intereses de los países con poco peso en el mercado.,1",1,Ecuador
26,"163. Consolidar la democracia y sus instituciones, para lo que se debe profundizar la cooperación de las instancias electorales de la región, así como la vigencia de la cláusula democrática de UNASUR.,1",1,Ecuador
27,"162. Propender a la soberanía energética, con un enfoque de complementariedad, dado que la región podría ser autosuficiente en esta materia.,1",1,Ecuador
28,"162. Definir una agenda en la OMC que se alinee a los intereses de los países en desarrollo, recuperando la agenda de Doha y proyectándola hacia el futuro, limitando las intenciones de las empresas multinacionales de avanzar en sus propuestas sobre propiedad intelectual, protección de inversiones, y últimamente de monopolizar los beneficios de internet y la sociedad digital.,1",1,Ecuador
29,"161. Mejorar la conectividad regional, emprendiendo en proyectos que dinamicen la economía de la población y mejore su libre movilidad.,1",1,Ecuador
30,"160. Consolidar y profundizar la ciudadanía suramericana.,1",1,Ecuador
