,text,cmp_code,country
0,"y el imperialismo capitalista,",1,Uruguay
1,y luchamos consecuentemente por un verdadero gobierno antimperialista y popular.,1,Uruguay
2,"la entrega del país,",1,Uruguay
3,"y el saqueo de nuestros bienes,",1,Uruguay
4,"reafirmamos que sólo rompiendo con el imperialismo y llevando adelante un programa de cambios estructurales profundos podremos dar un paso firme hacia la liberación nacional y social,",1,Uruguay
5,en la perspectiva del Socialismo.,1,Uruguay
6,"y que defendió históricamente  la independencia y la soberanía del país,",1,Uruguay
7,denunciando además el argumento demagógico de que sólo de rodillas ante las trasnacionales se pueden mejorar los niveles de empleo.,1,Uruguay
8,"Rechazo de las Cartas de Intención con el FMI, Banco Mundial, BID y otros organismos al servicio del imperialismo y las multinacionales.",1,Uruguay
9,"Denuncia y eliminación de todos los Acuerdos lesivos de la soberanía nacional y los intereses populares, suscritos por los actuales y anteriores gobiernos,",1,Uruguay
10,"tales como el Tratado de Promoción de Inversiones con EEUU ( TIFA),",1,Uruguay
11,"los tratados con Finlandia y España,",1,Uruguay
12,"los TLC suscritos con varios países ( México, Chile, etc.)",1,Uruguay
13,así como  otras disposiciones.,1,Uruguay
14,"En particular eliminar la integración del Uruguay al mecanismo del CIADI,",1,Uruguay
15,"para el arreglo de las diferencias con relación a la inversión extranjera,",1,Uruguay
16,por ser el mismo un instrumento del Banco Mundial al servicio de las mismas,1,Uruguay
17,recuperar soberanía nacional denunciando los Tratados que como el caso del TIFA nos aten a reconocer las patentes que presentan las multinacionales,1,Uruguay
18,"para obligarnos a reconocer su monopolio en el manejo de las semillas, los medicamentos, los productos fitosanitarios",1,Uruguay
19,"y nos imponen la importación de herbicidas y plaguicidas,",1,Uruguay
20,"que hacen un grave daño al medio ambiente, a la vida de las especies y a la propia vida humana.",1,Uruguay
21,"4) Forjar acuerdos comerciales de mutua conveniencia,",1,Uruguay
22,"especialmente con los países hermanos de la región, para promover dicha industrialización.",1,Uruguay
23,"descartando toda política educacional extranjera, o  aquellos convenios que bajo pretexto de ayudar técnica o económicamente a la Enseñanza, traben su desarrollo,",1,Uruguay
24,la desvíen de sus fines,1,Uruguay
25,"y la pongan al servicio de intereses privados y o, extranjeros.",1,Uruguay
26,a romper todos los vínculos con los organismos financieros internacionales;,1,Uruguay
27,"1)Establecer la prohibición de realizar acuerdos de préstamos internacionales,",1,Uruguay
28,"que promuevan condicionamientos macroeconómicos y sociales,",1,Uruguay
29,que vulneren la soberanía política y económica del país,1,Uruguay
30,y los derechos sociales y,1,Uruguay
31,"o ambientales del conjunto de la población del mismo. (Cartas de Intención, FMI, BM, BID, etc.)",1,Uruguay
32,"2)Prohibición de establecer acuerdos económicos con otros países o empresas,",1,Uruguay
33,"que no respeten la jurisdicción exclusiva de los tribunales nacionales,",1,Uruguay
34,en cuestiones relativas a diferencias y controversias que se suscitaren con relación a los mismos,1,Uruguay
35,Imposibilidad de declararle la guerra a otros países (a menos de ser atacados),1,Uruguay
36,o pedir ayuda a otros países para entrar en un conflicto armado (ídem).,1,Uruguay
37,21) Prohibición de intervención en misiones de paz de la ONU o fuerzas de intervención militar en otro país,1,Uruguay
38,5) A nivel regional se promoverá el auto abastecimiento,1,Uruguay
39,y la complementación energética que fortalezca a la región en su conjunto.,1,Uruguay
40,"1) Depurar las  FF.AA, de quienes hayan participado de los crímenes de lesa humanidad de la Dictadura.",1,Uruguay
41,2) Reestructuración de las FFAA sobre la base de reducción de efectivos.,1,Uruguay
42,3) Eliminación de las formulaciones de la Doctrina de la Seguridad Nacional de sus planes de estudio y formación de oficiales.,1,Uruguay
43,"4) Eliminar los acuerdos con EEUU para asistencia y formación militar por parte del imperialismo,",1,Uruguay
44,así como la participación de Uruguay en las operaciones UNITAS u otras de similar tenor.,1,Uruguay
45,Dejar sin efecto la instalación de la base militar encubierta de Santa Catalina.,1,Uruguay
46,"5) Desmantelar el aparato represivo interno de las FFAA,",1,Uruguay
47,"fortificando una auténtica Defensa Nacional, con sentido antiimperialista y participación popular",1,Uruguay
48,"7) Poner fin a la intervención de tropas uruguayas en Haití, Congo y Sinaí.",1,Uruguay
49,"10) Debe cuestionarse profundamente la cultura dominante que tiene como centro los EE.UU,",1,Uruguay
50,"pero que es compartida por las cúpulas de casi todo el planeta y que fomenta el consumo, la violencia.",1,Uruguay
51,Intercambio con todos los países del mundo para el debate cultural.,1,Uruguay
52,"Solidaridad con Cuba,",1,Uruguay
53,rechazo del bloqueo imperialista que sufre la isla.,1,Uruguay
54,"Solidaridad con los Cuatro luchadores cubanos presos por EEUU,",1,Uruguay
55,"con los pueblos y los gobiernos antiimperialistas y populares de Venezuela y Bolivia,",1,Uruguay
56,y con todos los pueblos que luchan por su liberación contra la opresión imperialista,1,Uruguay
57,El MERCOSUR no ha sido un proceso de integración sobre la base de los intereses de los trabajadores y los pueblos,1,Uruguay
58,sino en beneficio de multinacionales imperialistas instaladas en la región.,1,Uruguay
59,"Por lo tanto se debe persistir en una verdadera unidad de los pueblos,",1,Uruguay
60,"que respete la soberanía de cada país y cada pueblo, como enseña el legado artiguista.",1,Uruguay
61,En ese sentido apoyamos la integración de nuestro país al ALBA.,1,Uruguay
62,"los  derechos  de  los  pueblos,  como  los  derechos  al  desarrollo  y  la  libre  determinación;",1,Uruguay
63,"Ello fue acompañado,  en  muchos  casos,  del  aprovechamiento  de  las  desigualdades  asociadas  a  la  dominación  colonial e imperialista;",1,Uruguay
64,Estos  aspectos  negativos  del  comportamiento  humano  deberán  revisarse  profundamente  en  la comunidad global.,1,Uruguay
65,"Este proceso es imposible de ser pensado en forma autárquica, sino que debe insertarse en un mundo cada vez más interdependiente,",1,Uruguay
66,con grados de integración a diferentes niveles y ámbitos geográficos.,1,Uruguay
67,"Sin  embargo,  la  incapacidad  de  la  estructura  productiva  para  acompañar  los  cambios  que  supone  la  elevación de los niveles de vida, puede conducir más a la dependencia que a la interdependencia, tanto desde el punto de vista comercial, productivo, tecnológico, como financiero.",1,Uruguay
68,"En la dirección de la transformación estructural, la integración regional es un componente clave, como ámbito privilegiado para procesos de fuerte integración productiva, desarrollo científico-tecnológico, construcción de autonomía financiera e integración de mercados.",1,Uruguay
69,"También desde el punto de vista cultural la integración regional constituye una estrategia central, ayudada por afinidades culturales e idiomáticas preexistentes, no siempre presentes en otros procesos exitosos de integración.",1,Uruguay
70,"El proceso de desarrollo al que puede aspirar la sociedad uruguaya, difícilmente pueda avanzar desconectado de su entorno regional más cercano.",1,Uruguay
71,"Tampoco de un mundo cada día más interconectado y globalizado en  muchas  esferas  de  la  vida  económica,  tecnológica  y  cultural.",1,Uruguay
72,"El  desarrollo  de  Uruguay,  como  país  pequeño,  se  basa  irremediablemente  en  una  integración  competitiva  en  los  mercados  regionales  y  mundiales,",1,Uruguay
73,"y simultáneamente, en la defensa y cultivo de una cultura propia,",1,Uruguay
74,"sin perjuicio que los términos de intercambio, por mayor aumento de los commodities minerales y energéticos, nos fueran desfavorables.",1,Uruguay
75,Un primer conjunto de temas refiere a la salida de la crisis económica que enfrentan los países capitalistas centrales.,1,Uruguay
76,La profundidad de la crisis financiera iniciada en EEUU en 2007 y luego propagada  a  Europa  muestra  rasgos  sin  precedentes  en  la  historia.,1,Uruguay
77,"Si  bien  existen  signos  que  alientan  respecto a su finalización, se está lejos de afirmar que la salida y recuperación económica y social sea inminente.",1,Uruguay
78,"Y  de  ser  así,  quedan  planteadas  las  dudas  respecto  a  la  modalidad  que  puede  adquirir  dicha  salida de crisis por sus impactos en la región y en nuestro país.",1,Uruguay
79,Respecto a las condiciones de la coyuntura regional una estrategia regional comercial y financiera del MERCOSUR debe mostrar avances sustantivos en la implementación de la misma durante el próximo lustro,1,Uruguay
80,"teniendo  en  cuenta  que,  si  bien  se  han  realizado  avances  en  el  compromiso  de  fortalecer  la  institucionalidad e importancia del MERCOSUR, la celeridad de los cambios parece sobrepasar la respuesta de los gobiernos.",1,Uruguay
81,"Si bien la integración regional y social de los pueblos latinoamericanos es un objetivo perseguido por los gobiernos del MERCOSUR, como da cuenta la integración de Venezuela, algunos asuntos recientes exigen especial consideración.",1,Uruguay
82,En  los  últimos  años  no  ha  habido  avances  sustantivos  en  el  diseño  y  posterior  implementación  de  una  estrategia regional comercial y financiera.,1,Uruguay
83,"La implementación de estos avances permitiría despejar incertidumbres respecto a niveles de crecimiento, estabilidad de precios, estrategias cambiarias, volúmenes  de  comercio  intrazona.",1,Uruguay
84,"El  Uruguay  deberá  hacer  los  máximos  esfuerzos  en  este  sentido,  que  de concretarse permitirán que la zona responda unida a los desafíos planteados internacionalmente.",1,Uruguay
85,"La integración regional, cuya consecución constituye un aspecto central de la propuesta política del FA,",1,Uruguay
86,"es uno de los instrumentos claves de la inserción internacional, tanto por la relevancia que tiene la relación (actual y potencial) de la economía nacional con sus socias del MERCOSUR,",1,Uruguay
87,como por el vínculo que a través de éste se construye (tanto por acción como por omisión) con los restantes países y bloques.,1,Uruguay
88,"Con la región perseguimos una integración profunda, superando ampliamente lo meramente comercial,",1,Uruguay
89,"fomentando la cooperación en ciencia y tecnología, infraestructura,",1,Uruguay
90,"otros bienes públicos regionales, y los vínculos culturales.",1,Uruguay
91,Pero la implementación efectiva de los avances y la concreción de los canales de intercambio dista de ser sencilla y no está asegurada.,1,Uruguay
92,En primer lugar exige precisar la política de Uruguay en el concierto de las naciones,1,Uruguay
93,y la estrategia conjunta  con  los  países  de  la  región.,1,Uruguay
94,"Región  y  extra-región  desempeñan  papeles  esenciales,  aunque distintos, en la estrategia de desarrollo.",1,Uruguay
95,"Con la integración al MERCOSUR, el país procuró la construcción de un mercado ampliado que generara condiciones que el mercado interno no provee, para la actividad industrial.",1,Uruguay
96,"Y, por otro lado, procuró una plataforma para la negociación conjunta de acuerdos comerciales con otros países individualmente considerados",1,Uruguay
97,así como con otros bloques.,1,Uruguay
98,Es de destacar que el núcleo más competitivo de nuestra oferta exportable basada en la dotación de recursos naturales se enfrenta a los más potentes y sofisticados esquemas de protección de los países desarrollados.,1,Uruguay
99,La negociación conjunta buscó superar la dificultad de acceso planteada.,1,Uruguay
100,"En términos de la estrategia de desarrollo, la opción pasa por reafirmar la pertenencia al bloque, persistir  en  el  planteo  de  construir  una  integración  regional  profunda  (que  suponga,  en  lo  que  hace  al  plano económico, la plena vigencia del acceso al mercado ampliado, el cumplimiento de las reglas, la existencia de mecanismos adecuados y efectivos de solución de controversias y calidad institucional) y,",1,Uruguay
101,"simultáneamente, plantear a los socios del MERCOSUR la necesidad de concretar la agenda externa del bloque.",1,Uruguay
102,"La negociación conjunta es la prioridad,",1,Uruguay
103,planteándose como alternativa la negociación de flexibilidades y formatos que permitan a los miembros del bloque avanzar a distintas velocidades.,1,Uruguay
104,mejorar las condiciones de competitividad internacional de nuestra producción,1,Uruguay
105,así como reducir los costos de intermediación financiera y el desarrollo de los mercados de capitales.,1,Uruguay
106,Un  segundo  aspecto  relevante  lo  constituye  el  diseño  de  las  políticas  de  relacionamiento  con  las empresas multinacionales.,1,Uruguay
107,"En  base  a  la  confianza  lograda  corresponde  ahora  repensar  el  relacionamiento  político,",1,Uruguay
108,"En este sentido, Uruguay debe poner el énfasis en las condiciones internacionales que alienten los efectos positivos de estas inversiones enriqueciendo el tejido productivo y social de nuestro país.",1,Uruguay
109,"En  este  sentido  cobra  relevancia  la  atención  al  diseño  de  políticas  orientadas  a  promover  el  ahorro  nacional  y  la  inversión  nacional  en  general,",1,Uruguay
110,"En el ámbito financiero se considera relevante evitar la emergencia de escenarios como los vividos en los años  noventa  tanto  en  el  país,  como  en  la  región,  en  las  zonas  de  crecimiento  de  Asia,",1,Uruguay
111,"y  recientemente  en el mismo mundo capitalista, por efecto de los movimientos de los capitales especulativos.",1,Uruguay
112,"Por otra parte, el régimen cambiario debe seguir siendo funcional para lograr una creciente desdolarización de la economía.",1,Uruguay
113,"la defensa de los recursos naturales, base de la soberanía y fuente de seguridad alimentaria, legislando en materia de concentración y extranjerización de la tierra, inversiones de gran porte, uso responsable y conservación del patrimonio nacional;",1,Uruguay
114,"e integrado a la región,",1,Uruguay
115,simultáneo a promover y defender el comercio internacional justo,1,Uruguay
116,y la integración regional.,1,Uruguay
117,y para ejercer la soberanía del país desde una democracia participativa y robusta.,1,Uruguay
118,"En estas Bases Programáticas los temas relevantes para el crecimiento son: (a) el esfuerzo por la diversificación de las cadenas productivas en las que se asienta la economía nacional,",1,Uruguay
119,"En este campo se reafirma la importancia de la soberanía nacional sobre los recursos naturales y  la  agroindustria  declarada  de  interés  estratégico  nacional,  las  que  quedarán  inhibidas  de  cualquier  forma de propiedad o tenencia por países o empresas estatales extranjeras.",1,Uruguay
120,y el impulso a procesos genuinos de integración productiva en la región.,1,Uruguay
121,Potenciar la integración productiva en el Mercosur.,1,Uruguay
122,Integración Productiva en el MERCOSUR,1,Uruguay
123,- Potenciar y continuar los diversos aspectos estratégicos de agenda  externa  que  hacen  a  la  profundización  de  los  lazos  con  los  países  vecinos:,1,Uruguay
124,"Aumentar los volúmenes de comercio entre nuestros países para avanzar en un proceso integración genuina, con el desarrollo de nuevas cadenas de valor regionales como la automotriz, naval y eólica entre otras.",1,Uruguay
125,e integrados a la región.,1,Uruguay
126,"la  integración  regional  y  que  considere  el  nivel  local-regional  como  el  espacio  para  el  ejercicio  de  la  gobernanza,",1,Uruguay
127,"•  Se  dará  continuidad  a  los  espacios  de  integración  regional  en  turismo -como la RET-Mercosur- y se planificarán acciones coordinadas, en cuanto a ofertas conjuntas entre los países de la región.",1,Uruguay
128,"geopolíticos,",1,Uruguay
129,"Mediante  inversiones  que  superaron  los  9  mil  millones  de dólares, se lograron profundas transformaciones para colocar en el centro a la soberanía nacional",1,Uruguay
130,"la integración regional,",1,Uruguay
131,"•  Soberanía  y  autosuficiencia  energética,",1,Uruguay
132,"pero nuestro compromiso como fuerza política de izquierda respecto a este tema es definir una posición política estratégica de la región, íntimamente ligada a la integración latinoamericana,",1,Uruguay
133,"como  herramienta  para  la  integración  de  nuestro  país  con  la  región,",1,Uruguay
134,potenciando  el  intercambio comercial internacional.,1,Uruguay
135,"y por último el que refiere a su inevitable conexión con temas vinculados a la Soberanía, que llamaremos de igual forma.",1,Uruguay
136,"Nos  encontramos  en  un  contexto  mundial  de  agotamiento  y  contaminación  del  agua  dulce,",1,Uruguay
137,"el  cual  ha  hecho  prever  la  posibilidad  de  conflictos  por  la  obtención  de  este  recurso,",1,Uruguay
138,"por  las  formas  ya  conocidas:  privatizaciones, apropiación del recurso por empresas o Estados con mayor poder económico,",1,Uruguay
139,o directamente mediante conflicto bélico.,1,Uruguay
140,En ese sentido Uruguay no está libre de los efectos de la contaminación y del cambio climático con eventos alternados de inundación y sequía.,1,Uruguay
141,Es necesario consolidar una política la menos regional de la ESS.,1,Uruguay
142,"Si ésta va a ser un actor central de los cambios, deberá coordinarse y buscarse todas las sinergias posibles en la región.",1,Uruguay
143,"y la integración regional,",1,Uruguay
144,"Esta  regulación  deberá  garantizar  la  soberanía  nacional  sobre  dichos  datos y servicios, de tal manera que sean localizados íntegramente en el territorio nacional",1,Uruguay
145,•  Integración  e  inserción  internacional:  Consolidar  la  inserción  en  ICT  del  país  en  el  ámbito  regional,1,Uruguay
146,más allá de las prevenciones que se deberán tomar en cuanto a defensa y soberanía nacionales.,1,Uruguay
147,Los planes de desarrollo del país,1,Uruguay
148,y la región,1,Uruguay
149,y de nuestra inserción regional,1,Uruguay
150,e internacional.,1,Uruguay
151,habiéndose  iniciado procesos de ordenamiento territorial a nivel regional.,1,Uruguay
152,"como la configuración de una imagen internacional,",1,Uruguay
